paper_full,temp,rate,std_rate,paper,extra_info,level
g1997_Maine,3,0.57,0.40,g1997,Maine,low
g1997_Maine,11,1.02,0.72,g1997,Maine,low
g1997_Maine,20,1.42,1.00,g1997,Maine,low
g1997_Maine,25,1.81,1.27,g1997,Maine,low
g1997_Maine,30,0.67,0.47,g1997,Maine,low
g1997_NY,3,0.94,0.44,g1997,NY,high
g1997_NY,11,1.52,0.72,g1997,NY,high
g1997_NY,20,2.12,1.00,g1997,NY,high
g1997_NY,25,2.45,1.16,g1997,NY,high
g1997_NY,30,1.5,0.71,g1997,NY,high
a2013_10_Bergen,5,17.98,0.92,a2013,10_Bergen,low
a2013_10_Bergen,10,18.88,0.97,a2013,10_Bergen,low
a2013_10_Bergen,15,18.15,0.93,a2013,10_Bergen,low
a2013_10_Bergen,20,19.49,1.00,a2013,10_Bergen,low
a2013_10_Bergen,25,7.98,0.41,a2013,10_Bergen,low
a2013_15_Bergen,5,14.19,0.57,a2013,15_Bergen,low
a2013_15_Bergen,10,14.06,0.57,a2013,15_Bergen,low
a2013_15_Bergen,15,24.19,0.98,a2013,15_Bergen,low
a2013_15_Bergen,20,24.81,1.00,a2013,15_Bergen,low
a2013_15_Bergen,25,10.25,0.41,a2013,15_Bergen,low
a2013_20_Bergen,5,21.48,3.27,a2013,20_Bergen,low
a2013_20_Bergen,10,14.17,2.16,a2013,20_Bergen,low
a2013_20_Bergen,15,10.28,1.56,a2013,20_Bergen,low
a2013_20_Bergen,20,6.57,1.00,a2013,20_Bergen,low
a2013_20_Bergen,25,5.93,0.90,a2013,20_Bergen,low
a2013_10_Grimstad,5,11.74,0.73,a2013,10_Grimstad,high
a2013_10_Grimstad,10,17.19,1.07,a2013,10_Grimstad,high
a2013_10_Grimstad,15,18.93,1.18,a2013,10_Grimstad,high
a2013_10_Grimstad,20,16.01,1.00,a2013,10_Grimstad,high
a2013_10_Grimstad,25,8.76,0.55,a2013,10_Grimstad,high
a2013_15_Grimstad,5,9.81,0.65,a2013,15_Grimstad,high
a2013_15_Grimstad,10,11,0.72,a2013,15_Grimstad,high
a2013_15_Grimstad,15,18.63,1.23,a2013,15_Grimstad,high
a2013_15_Grimstad,20,15.19,1.00,a2013,15_Grimstad,high
a2013_15_Grimstad,25,8.69,0.57,a2013,15_Grimstad,high
a2013_20_Grimstad,5,15.46,1.59,a2013,20_Grimstad,high
a2013_20_Grimstad,10,18.61,1.91,a2013,20_Grimstad,high
a2013_20_Grimstad,15,12.22,1.26,a2013,20_Grimstad,high
a2013_20_Grimstad,20,9.72,1.00,a2013,20_Grimstad,high
a2013_20_Grimstad,25,2.96,0.30,a2013,20_Grimstad,high
