orig order,Date,Sampling week,Time,Cross,Treatment,Rep,YII (meristem),YII (above/tipward of 10cm holepunch),Female GP ID,Male GP ID,Heat tested Female GP,Heat tested Male GP,Female GP % change,Female GP ranking,Male GP % change,Male GP ranking,,,,,,,,,,,,,,,,
109,6/13/23,Week 1,13:29,40,A,1,0.655,,SL18-JS-19-MG1,SL18-JS-19-MG1,#N/A,SL18-JS-19-MG1,,,0.30367682,2,,,,,,,,,,,,,,,,
226,6/13/23,Week 1,15:56,46,A,1,0.668,,SA18-CB-4-FG6,SL18-NC-2-MG3,SA18-CB-4-FG6,#N/A,-17.43129,5,,,,,,,,,,,,,,,,,,
82,6/12/23,Week 1,16:40,47,A,1,0.525,,SL18-OI-6-FG2,SL18-OD-6-MG1,SL18-OI-6-FG2,SL18-OD-6-MG1,-21.175178,6,-90.257688,81,,,,,,,,,,,,,,,,
235,6/13/23,Week 1,16:04,49,A,1,0.609,,SL18-CC-5-FG3,SL18-CC-7-MG1,SL18-CC-5-FG3,#N/A,-27.632169,8,,,,,,,,,,,,,,,,,,
253,6/13/23,Week 1,,51,A,1,0.61,,SL18-CC-5-FG3,SL18-OI-14-MG1,SL18-CC-5-FG3,#N/A,-27.632169,8,,,,,,,,,,,,,,,,,,
127,6/13/23,Week 1,,59,A,1,0.659,,SL18-SF-13-FG2,SL18-LL-9-MG4,SL18-SF-13-FG2,SL18-LL-9-MG4,-78.138399,59,-80.72347,63,,,,,,,,,,,,,,,,
262,6/13/23,Week 1,,61,A,1,0.619,,SL18-CC-1-FG1,SL18-LD-9-MG1,#N/A,SL18-LD-9-MG1,,,-88.023499,76,,,,,,,,,,,,,,,,
244,6/13/23,Week 1,16:34,70,A,1,0.619,,SL18-OI-6-FG2,SL18-CC-7-MG1,SL18-OI-6-FG2,#N/A,-21.175178,6,,,,,,,,,,,,,,,,,,
199,6/13/23,Week 1,15:21,81,A,1,0.588,,SL18-CC-1-FG1,SL18-OI-6-MG2,#N/A,SL18-OI-6-MG2,,,-93.83737,89,,,,,,,,,,,,,,,,
217,6/13/23,Week 1,15:50,84,A,1,0.685,,SL18-SF-13-FG2,SL18-UCONN-S5-MG1,SL18-SF-13-FG2,#N/A,-78.138399,59,,,,,,,,,,,,,,,,,,
100,6/12/23,Week 1,,85,A,1,0.633,,SL18-CC-5-FG3,SL18-OI-6-MG2,SL18-CC-5-FG3,SL18-OI-6-MG2,-27.632169,8,-93.83737,89,,,,,,,,,,,,,,,,
208,6/13/23,Week 1,15:31,116,A,1,0.657,,SA18-CB-7-FG1,SL18-UCONN-S4-MG3,SA18-CB-7-FG1,#N/A,(eliminated as dead),,,,,,,,,,,,,,,,,,,
154,6/13/23,Week 1,14:14,120,A,1,0.699,,SL18-SF-17-FG2,SA18-CB-7-MG3,SL18-SF-17-FG2,#N/A,-44.008511,15,,,,,,,,,,,,,,,,,,
172,6/13/23,Week 1,,128,A,1,0.633,,SA18-CB-4-FG6,SL18-OI-14-MG1,SA18-CB-4-FG6,#N/A,-17.43129,5,,,,,,,,,,,,,,,,,,
181,6/13/23,Week 1,,130,A,1,0.667,,SL18-CC-3-FG2,SL18-CC-7-MG1,SL18-CC-3-FG2,#N/A,-68.808757,36,,,,,,,,,,,,,,,,,,
55,6/12/23,Week 1,15:58,133,A,1,0.691,,SL18-OI-6-FG2,SL18-OI-6-MG2,SL18-OI-6-FG2,SL18-OI-6-MG2,-21.175178,6,-93.83737,89,,,,,,,,,,,,,,,,
163,6/13/23,Week 1,14:46,136,A,1,0.562,,SL18-CC-5-FG2,SA18-CB-10-MG1,#N/A,SA18-CB-10-MG1,,,-85.12983,71,,,,,,,,,,,,,,,,
64,6/12/23,Week 1,,138,A,1,0.603,,SL18-CC-3-FG2,SL18-OD-6-MG1,SL18-CC-3-FG2,SL18-OD-6-MG1,-68.808757,36,-90.257688,81,,,,,,,,,,,,,,,,
73,6/12/23,Week 1,16:28,139,A,1,0.633,,SA18-CB-4-FG6,SL18-JS-19-MG1,SA18-CB-4-FG6,SL18-JS-19-MG1,-17.43129,5,0.30367682,2,,,,,,,,,,,,,,,,
91,6/12/23,Week 1,,141,A,1,0.713,,SL18-LD-13-FG1,SL18-LD-2-MG2,SL18-LD-13-FG1,SL18-LD-2-MG2,-69.65774,38,-81.133004,64,,,,,,,,,,,,,,,,
190,6/13/23,Week 1,15:14,144,A,1,0.626,,SA18-CB-4-FG6,SL18-OI-14-MG1,SA18-CB-4-FG6,#N/A,-17.43129,5,,,,,,,,,,,,,,,,,,
1,6/12/23,Week 1,14:33,157,A,1,0.646,,SL18-OI-6-FG2,SA18-CB-4-MG2,SL18-OI-6-FG2,SA18-CB-4-MG2,-21.175178,6,-93.012556,88,,,,,,,,,,,,,,,,
145,6/13/23,Week 1,14:07,158,A,1,0.691,,SA18-CB-4-FG6,SA18-CB-1-MG13,SA18-CB-4-FG6,#N/A,-17.43129,5,,,,,,,,,,,,,,,,,,
10,6/12/23,Week 1,14:08,160,A,1,0.677,,SL18-LL-9-FG3,SL18-LD-2-MG2,SL18-LL-9-FG3,SL18-LD-2-MG2,-55.10044,20,-81.133004,64,,,,,,,,,,,,,,,,
19,6/12/23,Week 1,,161,A,1,0.58,,SA18-CB-4-FG6,SL18-LD-2-MG2,SA18-CB-4-FG6,SL18-LD-2-MG2,-17.43129,5,-81.133004,64,,,,,,,,,,,,,,,,
